seed,tau,pred_pooled_raw,pred_pooled_floor,pred_pooled_corr,pred_strat_raw,pred_strat_floor,pred_strat_corr,steer_u_raw,steer_u_floor,steer_u_corr,steer_xi_raw,steer_xi_floor,steer_xi_corr,gap_u_corr,gap_xi_corr,fail_rate
57011,11,0.3626901156941966,0.002563524372249704,0.3601265913219469,0.5186694926227595,0.0020949280500332287,0.5165745645727263,0.8481314358791586,0.003589602783839143,0.8445418330953195,0.8510792874076817,0.00290901883818174,0.8481702685695,-0.32796726852259317,-0.3315957039967736,0.0
57012,12,0.18873354560897856,0.003989324387096061,0.1847442212218825,0.27544288726507693,0.0021136427761617614,0.27332924448891516,0.7967420810020903,0.002222603393172417,0.794519477608918,0.7991852462876604,0.0020098491487223658,0.797175397138938,-0.5211902331200028,-0.5238461526500229,0.0
57013,13,0.07798290929359719,0.0022819001531394936,0.0757010091404577,0.13768338839496236,0.0021500539721634156,0.13553333442279894,0.7424584868650976,0.05585635498856917,0.6866021318765285,0.7444803992555941,0.005678315763116528,0.7388020834924776,-0.5510687974537296,-0.6032687490696786,0.0
57014,14,0.026013863136748146,0.0032091367596728732,0.02280472637707527,0.0728633519881319,0.00214678334202695,0.07071656864610495,0.6914656008423717,0.0029444682231547933,0.688521132619217,0.6933078093755163,0.0019291733482210602,0.6913786360272952,-0.617804563973112,-0.6206620673811902,0.0
57015,15,0.0017532350154574475,0.0023635064881208315,0.0,0.029856022602835593,0.0021477501372744053,0.02770827246556119,0.6429587261716069,0.003977820241012722,0.6389809059305942,0.6446386193760325,0.0031342596730425582,0.6415043597029899,-0.611272633465033,-0.6137960872374287,0.0
57016,16,0.0028929930305496066,0.0015919199988763675,0.0013010730316732391,0.057164515214747025,0.0021786137220626152,0.05498590149268441,0.5950926259905347,0.001380925193073069,0.5937117007974616,0.5964860392171669,0.004551906251630583,0.5919341329655363,-0.5387257993047772,-0.5369482314728519,0.0
57017,17,0.01962463642230591,0.001659499676826185,0.017965136745479726,0.05690558338596139,0.0021876138794638903,0.0547179695064975,0.5458485636760344,0.0019061800550140234,0.5439423836210204,0.5471365190678249,0.0012770348684563427,0.5458594841993686,-0.48922441411452294,-0.4911415146928711,0.0
57018,18,0.050490493103535504,0.004377738682541622,0.046112754420993884,0.10264685461751004,0.0022140140737839653,0.10043284054372607,0.49578992314938397,0.00234230748972847,0.4934476156596555,0.49660951123657326,0.002622517538312844,0.49398699369826043,-0.3930147751159294,-0.39355415315453435,0.0
57019,19,0.09610524056134254,0.003247297353310946,0.09285794320803159,0.12837056592424426,0.002224237435066079,0.12614632848917817,0.4619791403058931,0.001818480524091359,0.46016065978180176,0.4628451682857624,0.0023005503321874756,0.46054461795357493,-0.3340143312926236,-0.33439828946439676,0.0
57020,20,0.13977094921446323,0.007449050469972783,0.13232189874449043,0.1737916727104284,0.0021077960508448673,0.1716838766595835,0.40593521737126054,0.002155027265230957,0.40378019010602956,0.4065172142876117,0.0024748209509170816,0.4040423933366946,-0.23209631344644605,-0.2323585166771111,0.0
